FID,STATION_NA,DIVISION_H,STN_CODE,ADDRESS,COUNTY,STATION_IN,IG_EAST,IG_NORTH,ITM_EAST,ITM_NORTH,LONGITUDE,LATITUDE,FULL_TIME_,AREA_CODE,PHONE_NUMB,STATION_TY
486,NEWPORT,ENNIS,5132B,"Newport, Co Tipperary",TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/Newport-Co-Tipperary.html,172529,162091,572486,662134,-8.407173,52.70962,0,061,378102,Sub-District
487,PORTROE,ENNIS,3775C,"Portroe, Nenagh, Co. Tipperary",TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/portroe.html,176239,181245,576195,681283,-8.353676,52.881904,0,067,23255,Sub-District
488,ROSCREA,ENNIS,3802D,"Main Street, Roscrea, Co. Tipperary",TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/roscrea.html,213573,189469,613520,689506,-7.798782,52.956163,1,0505,21700,Sub-District
489,SHEVRY,ENNIS,3806G,"Shevry, Upperchurch",TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/shevry.html,196862,159490,596814,659533,-8.04713,52.686935,0,0504,54102,Sub-District
490,TEMPLEDERRY,ENNIS,3804M,"Cloghinch,Templederry, Nenagh",TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/templederry.html,194987,169197,594939,669237,-8.07501,52.774143,0,0504,52202,Sub-District
491,TEMPLEMORE,ENNIS,3800H,"Main Street, Templemore",TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/templemore.html,211174,171709,611122,671750,-7.835087,52.796632,1,0504,32630,Sub-District
492,TEMPLETUOHY,ENNIS,3801F,"Templetouhy, Thurles, Co.Tipperary",TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/templetuohy.html,218933,171028,618880,671068,-7.720095,52.790294,0,0504,53202,Sub-District
493,THURLES,ENNIS,3600E,"Slievenamon Road, Thurles, Co. Tipperary",TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/thurles.html,212773,158257,612721,658300,-7.8119,52.675712,1,0504,25100,District HQ
494,TIPPERARY,ENNIS,3870K,"St. Michael's Road, Tipperary",TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/Tipperary-Town.html,188981,136034,588933,636082,-8.162901,52.476051,1,062,80670,District HQ
495,TOOMEVARA,ENNIS,3776A,"Toomevara, Nenagh, Co.Tipperary",TIPPERARY,https://www.garda.ie/en/Contact-Us/Station-Directory/toomevara.html,197590,177601,597541,677640,-8.036502,52.849684,0,067,26002,Sub-District
